target,model,metric,value
utilization,GBM,RMSE,0.03558
utilization,GBM,MAE,0.02141
utilization,GBM,R2,0.95912
utilization,persistence_1h,RMSE,0.05228
utilization,persistence_1h,MAE,0.02717
utilization,persistence_1h,R2,0.91174
utilization,seasonal_daily,RMSE,0.10332
utilization,seasonal_daily,MAE,0.06849
utilization,seasonal_daily,R2,0.65535
utilization,seasonal_weekly,RMSE,0.09602
utilization,seasonal_weekly,MAE,0.06549
utilization,seasonal_weekly,R2,0.7023
utilization,climatology,RMSE,0.08924
utilization,climatology,MAE,0.06222
utilization,climatology,R2,0.74286
energy_kwh,GBM,RMSE,219.20157
energy_kwh,GBM,MAE,66.34719
energy_kwh,GBM,R2,0.9708
energy_kwh,persistence_1h,RMSE,399.5385
energy_kwh,persistence_1h,MAE,103.12142
energy_kwh,persistence_1h,R2,0.90299
congestion,GBM,ROC_AUC,0.99181
congestion,GBM,avg_precision,0.80332
congestion,GBM,Brier,0.0075
congestion,GBM,base_rate,0.00966
congestion,climatology,ROC_AUC,0.93542
congestion,climatology,avg_precision,0.55474
