zone,RMSE,MAE,R2,n,util_mean
102,0.0398,0.0267,0.8232,96.0,0.5926
105,0.0162,0.0132,0.7307,96.0,0.1861
107,0.0121,0.0093,0.8665,96.0,0.221
108,0.0268,0.02,0.9127,96.0,0.3997
109,0.0184,0.0124,0.901,96.0,0.1608
110,0.0106,0.008,0.6861,96.0,0.1165
111,0.014,0.0104,0.725,96.0,0.1972
115,0.0174,0.0117,0.8584,96.0,0.0978
123,0.0223,0.017,0.7949,96.0,0.1607
124,0.0148,0.0102,0.8938,96.0,0.1372
202,0.0179,0.0128,0.8157,96.0,0.198
204,0.0162,0.0124,0.9335,96.0,0.115
205,0.0082,0.0057,0.6218,96.0,0.0705
206,0.0131,0.0094,0.9853,96.0,0.1789
208,0.0581,0.0432,0.7607,96.0,0.4324
215,0.0124,0.0081,0.9462,96.0,0.0666
216,0.0351,0.0249,0.8992,96.0,0.3166
217,0.0167,0.0115,0.9786,96.0,0.2579
223,0.013,0.0091,0.896,96.0,0.2754
224,0.0095,0.0068,0.8759,96.0,0.1971
225,0.0217,0.0167,0.8758,96.0,0.2198
226,0.0185,0.0137,0.9331,96.0,0.2383
227,0.0275,0.019,0.8993,96.0,0.4469
235,0.0181,0.0138,0.9338,96.0,0.379
307,0.0123,0.0092,0.9378,96.0,0.308
309,0.0147,0.0102,0.83,96.0,0.208
320,0.0259,0.0174,0.8857,96.0,0.0517
322,0.0434,0.0351,0.8339,96.0,0.3685
323,0.0308,0.0179,0.9882,96.0,0.2618
324,0.0371,0.0224,0.9317,96.0,0.2817
325,0.0301,0.0218,0.9326,96.0,0.3609
326,0.0155,0.0083,0.9288,96.0,0.281
328,0.0158,0.0118,0.9703,96.0,0.3389
329,0.0092,0.0072,0.922,96.0,0.279
330,0.0285,0.0193,0.7266,96.0,0.3061
331,0.027,0.019,0.9325,96.0,0.4091
332,0.0165,0.0103,0.9698,96.0,0.2888
333,0.0456,0.0367,0.8338,96.0,0.4706
335,0.0103,0.0075,0.9316,96.0,0.3183
340,0.0775,0.0509,-0.0477,96.0,0.3308
343,0.0461,0.0298,0.902,96.0,0.2246
346,0.0519,0.0454,-0.3028,96.0,0.484
347,0.0579,0.045,0.7868,96.0,0.2846
348,0.0283,0.0213,0.8664,96.0,0.2134
406,0.0451,0.0323,0.8458,96.0,0.2817
408,0.0188,0.0143,0.8937,96.0,0.1383
501,0.0324,0.0249,0.8959,96.0,0.4687
502,0.012,0.0093,0.9423,96.0,0.3145
506,0.0122,0.0092,0.9051,96.0,0.261
512,0.0266,0.0202,0.8584,96.0,0.4433
513,0.0145,0.0112,0.9806,96.0,0.3545
519,0.028,0.0218,0.865,96.0,0.3802
520,0.0146,0.0105,0.9515,96.0,0.3197
522,0.0195,0.0145,0.982,96.0,0.5891
525,0.0145,0.011,0.9557,96.0,0.3104
526,0.01,0.0075,0.9739,96.0,0.3037
527,0.0154,0.0123,0.9158,96.0,0.2906
529,0.0236,0.0178,0.8881,96.0,0.2677
552,0.0256,0.0175,0.9382,96.0,0.3655
570,0.0588,0.0358,0.9539,96.0,0.6925
576,0.0369,0.0299,0.8817,96.0,0.4249
577,0.026,0.0203,0.9226,96.0,0.1429
580,0.047,0.0365,0.6906,96.0,0.2832
584,0.0169,0.0122,0.8896,96.0,0.2161
585,0.0395,0.0293,0.7905,96.0,0.1785
587,0.0125,0.0097,0.9745,96.0,0.2624
588,0.0157,0.0117,0.9712,96.0,0.3853
589,0.024,0.019,0.7257,96.0,0.2478
594,0.0206,0.0156,0.9429,96.0,0.1922
595,0.0392,0.0293,0.9718,96.0,0.4624
596,0.0165,0.0124,0.7779,96.0,0.4662
598,0.0406,0.0261,0.8798,96.0,0.2995
627,0.0863,0.0699,0.7248,96.0,0.2912
628,0.1127,0.0861,0.6976,96.0,0.445
630,0.1289,0.099,0.5625,96.0,0.3268
631,0.0259,0.0199,0.6847,96.0,0.0948
632,0.0332,0.0261,0.8661,96.0,0.4209
633,0.0291,0.0223,0.9325,96.0,0.5521
636,0.0399,0.0278,0.6605,96.0,0.2786
638,0.0307,0.0211,0.9109,96.0,0.193
643,0.0261,0.0194,0.8639,96.0,0.1517
644,0.0215,0.0154,0.9286,96.0,0.24
655,0.0219,0.0152,0.953,96.0,0.1835
656,0.0181,0.0139,0.9388,96.0,0.1614
681,0.0244,0.0165,0.851,96.0,0.2225
682,0.0568,0.0445,0.9214,96.0,0.2975
686,0.0109,0.0079,0.8565,96.0,0.0561
690,0.0598,0.045,0.9177,96.0,0.3454
691,0.032,0.0227,0.9759,96.0,0.4921
693,0.0282,0.0218,0.8574,96.0,0.2939
698,0.0527,0.0396,0.9439,96.0,0.4046
699,0.0335,0.0256,0.7158,96.0,0.2786
700,0.0141,0.0106,0.9183,96.0,0.3055
701,0.0328,0.0196,0.7446,96.0,0.1359
702,0.1199,0.0858,0.7839,96.0,0.296
703,0.0097,0.0074,0.9725,96.0,0.2734
704,0.0156,0.0114,0.9768,96.0,0.3731
705,0.0171,0.013,0.5749,96.0,0.199
706,0.0301,0.0198,0.8013,96.0,0.3371
708,0.0606,0.0458,0.916,96.0,0.3968
709,0.015,0.0107,0.9559,96.0,0.3192
710,0.0158,0.0124,0.8229,96.0,0.2466
711,0.0151,0.0109,0.8325,96.0,0.0716
712,0.0151,0.0122,0.8267,96.0,0.586
715,0.0836,0.0686,0.8468,96.0,0.7587
716,0.0117,0.0089,0.9841,96.0,0.3799
719,0.0753,0.0496,0.8941,96.0,0.5622
724,0.0097,0.0079,0.9215,96.0,0.2777
728,0.0292,0.0209,0.8752,96.0,0.2212
729,0.0335,0.0251,0.742,96.0,0.2041
732,0.023,0.0182,0.5772,96.0,0.6083
733,0.0199,0.0145,0.9892,96.0,0.3972
735,0.1235,0.098,0.7021,96.0,0.4555
737,0.0152,0.0106,0.914,96.0,0.1501
739,0.0478,0.0315,0.8085,96.0,0.1336
741,0.0203,0.0137,0.9061,96.0,0.1909
744,0.0242,0.0192,0.8378,96.0,0.4986
745,0.0347,0.0249,0.9494,96.0,0.5699
746,0.0159,0.0113,0.9751,96.0,0.4378
751,0.03,0.0219,0.8678,96.0,0.3862
771,0.0434,0.0319,0.9639,96.0,0.4099
773,0.0265,0.0211,0.9616,96.0,0.3704
775,0.103,0.0809,0.7658,96.0,0.495
781,0.0359,0.0254,0.7454,96.0,0.3188
783,0.0223,0.0138,0.8003,96.0,0.1038
784,0.0509,0.0303,0.8722,96.0,0.3289
790,0.0382,0.0286,0.9009,96.0,0.3135
795,0.023,0.0172,0.9655,96.0,0.5168
799,0.0277,0.0217,0.9503,96.0,0.3668
802,0.0255,0.0185,0.9366,96.0,0.3058
804,0.051,0.0407,0.746,96.0,0.2943
831,0.025,0.0179,0.9001,96.0,0.1251
832,0.0406,0.033,0.9287,96.0,0.422
835,0.0314,0.0228,0.7639,96.0,0.5817
842,0.0601,0.0452,0.8956,96.0,0.5834
848,0.0572,0.0352,0.898,96.0,0.1758
849,0.0142,0.0109,0.9019,96.0,0.1378
851,0.0237,0.0183,0.9875,96.0,0.4987
852,0.0553,0.0392,0.9277,96.0,0.2913
855,0.0129,0.0096,0.9753,96.0,0.3603
858,0.0277,0.021,0.9653,96.0,0.4565
862,0.0168,0.0121,0.9558,96.0,0.1617
883,0.0319,0.0229,0.9336,96.0,0.4319
887,0.0245,0.0187,0.9314,96.0,0.3138
888,0.0162,0.0121,0.9815,96.0,0.3445
890,0.0142,0.0082,0.8773,96.0,0.1794
891,0.0476,0.0381,0.6979,96.0,0.2198
893,0.0523,0.042,0.3211,96.0,0.2025
895,0.0761,0.0569,0.6845,96.0,0.2487
897,0.0189,0.0143,0.8369,96.0,0.0875
900,0.0486,0.0348,0.8914,96.0,0.3489
901,0.0223,0.0163,0.8548,96.0,0.0814
902,0.0236,0.0185,0.8937,96.0,0.1592
903,0.0177,0.0141,0.9574,96.0,0.2006
904,0.0183,0.0145,0.9625,96.0,0.203
937,0.0249,0.0136,0.5098,96.0,0.0904
965,0.0164,0.0131,0.9842,96.0,0.4461
966,0.011,0.0084,0.9895,96.0,0.3135
967,0.0378,0.0267,0.8615,96.0,0.3013
969,0.027,0.0205,0.9271,96.0,0.3387
972,0.0208,0.0148,0.9686,96.0,0.3857
974,0.0158,0.0123,0.9751,96.0,0.4386
975,0.0414,0.0297,0.8125,96.0,0.1798
979,0.0354,0.0266,0.7229,96.0,0.1995
982,0.0402,0.0288,0.5874,96.0,0.5231
983,0.039,0.0281,0.8855,96.0,0.2446
986,0.0195,0.015,0.9708,96.0,0.4559
987,0.0702,0.0446,0.7653,96.0,0.1727
988,0.0175,0.0137,0.9509,96.0,0.2595
989,0.0142,0.0106,0.9666,96.0,0.2064
991,0.0394,0.0298,0.8594,96.0,0.6192
996,0.0234,0.0179,0.9721,96.0,0.4927
998,0.0251,0.0199,0.906,96.0,0.2945
1000,0.0145,0.0107,0.9611,96.0,0.2976
1009,0.0105,0.0084,0.9797,96.0,0.2749
1011,0.0099,0.0078,0.9572,96.0,0.2695
1015,0.0128,0.01,0.9519,96.0,0.1686
1026,0.0376,0.0305,0.9309,96.0,0.4794
1029,0.0412,0.0317,0.5178,96.0,0.7737
1031,0.0188,0.0139,0.897,96.0,0.3216
1032,0.0624,0.0485,0.8726,96.0,0.3336
1037,0.0455,0.0337,0.9176,96.0,0.3099
1043,0.0209,0.0157,0.8536,96.0,0.3068
1049,0.0237,0.0172,0.9828,96.0,0.4945
1060,0.0119,0.0074,0.724,96.0,0.0872
1061,0.0107,0.0078,0.715,96.0,0.1918
1062,0.0162,0.0112,0.9668,96.0,0.1298
1066,0.0186,0.0137,0.8752,96.0,0.2195
1067,0.0302,0.0209,0.9202,96.0,0.3827
1068,0.0072,0.0056,0.9247,96.0,0.2171
1071,0.0185,0.0145,0.9573,96.0,0.4048
1072,0.0198,0.0135,0.9621,96.0,0.252
