hour,mean_util,mean_energy,std_util,cv_util,band
0,0.3319,621.3232,0.1983,0.5975,peak
1,0.3343,645.7195,0.1991,0.5956,peak
2,0.3284,580.2865,0.1942,0.5914,peak
3,0.326,557.6004,0.1937,0.5942,peak
4,0.3247,559.9384,0.1936,0.5962,peak
5,0.3267,589.8457,0.195,0.597,peak
6,0.3313,651.3614,0.2005,0.6053,peak
7,0.3028,621.204,0.1843,0.6087,shoulder
8,0.2611,400.9,0.1487,0.5696,shoulder
9,0.2502,310.5211,0.1521,0.608,offpeak
10,0.2409,265.8211,0.1513,0.6278,offpeak
11,0.2376,267.0306,0.1497,0.6302,offpeak
12,0.2551,446.6815,0.1592,0.6241,shoulder
13,0.2569,473.923,0.1605,0.6248,shoulder
14,0.2412,329.5137,0.1481,0.6138,offpeak
15,0.2321,296.8705,0.1461,0.6296,offpeak
16,0.2319,306.9821,0.1456,0.6279,offpeak
17,0.2342,347.7271,0.1439,0.6141,offpeak
18,0.2399,342.1298,0.142,0.5919,offpeak
19,0.2632,378.7939,0.1518,0.577,shoulder
20,0.2789,392.992,0.1638,0.5872,shoulder
21,0.2886,384.8331,0.1721,0.5962,shoulder
22,0.3,383.99,0.1784,0.5949,shoulder
23,0.3082,407.4046,0.1833,0.5948,peak
