episode,epsilon,customer_response_rate,eps_hat,composite_reward,pricing_efficiency,avg_wait_reduction_pct,rev_gain_pct,offpeak_uplift_pct,peak_reduction_pp
1,0.9,0.3056,-0.3056,0.8854,0.8481,28.9231,-1.236,7.6876,2.6269
2,0.81,0.3109,-0.3109,0.8953,0.8525,44.0642,-1.5701,7.9973,4.7422
3,0.729,0.3114,-0.3114,0.8975,0.8586,48.7107,-1.5743,7.7132,4.3964
4,0.656,0.3085,-0.3085,0.9081,0.8419,56.7012,-1.4907,7.6696,4.5613
5,0.59,0.3093,-0.3093,0.909,0.8507,44.5371,-1.0632,8.1108,4.0946
6,0.531,0.3061,-0.3061,0.9158,0.8555,51.0942,-0.6451,7.7228,4.1984
7,0.478,0.3082,-0.3082,0.919,0.8564,43.8943,-0.621,7.1796,5.2618
8,0.43,0.3076,-0.3076,0.917,0.8742,22.2118,-0.3983,6.715,3.7686
9,0.387,0.306,-0.306,0.919,0.8673,48.0424,-0.6324,8.038,4.9768
10,0.349,0.3049,-0.3049,0.9236,0.8634,50.5984,-0.2401,7.6938,5.2393
11,0.314,0.305,-0.305,0.9268,0.8647,55.4844,-0.4709,7.2655,5.4695
12,0.282,0.3049,-0.3049,0.9278,0.8595,45.9043,-0.2383,7.2175,5.9834
13,0.254,0.3044,-0.3044,0.93,0.8651,56.9349,-0.4574,7.1416,5.1898
14,0.229,0.3043,-0.3043,0.9338,0.8645,42.9042,-0.4402,7.3858,6.109
15,0.206,0.3051,-0.3051,0.9342,0.8751,56.9327,-0.2506,7.7458,5.1587
16,0.185,0.3047,-0.3047,0.9359,0.8729,61.6758,0.1312,8.08,6.2151
17,0.167,0.3058,-0.3058,0.933,0.8723,54.1217,-0.3592,7.4335,5.2736
18,0.15,0.3052,-0.3052,0.9365,0.8891,64.0413,0.2186,8.078,6.3244
19,0.135,0.3049,-0.3049,0.9379,0.8643,53.9603,0.2304,8.1046,6.1384
20,0.122,0.3051,-0.3051,0.9398,0.8646,54.6972,0.3171,7.4659,4.9983
