feature,importance,std
util_lag1,0.18814,0.00113
util_lag2,0.01098,0.00033
util_lag168,0.00958,0.00034
zone,0.00866,0.00029
util_lag24,0.00428,8e-05
hour_cos,0.00353,0.00029
energy_lag24,0.00173,8e-05
hour,0.00162,9e-05
energy_lag1,0.00138,6e-05
hour_sin,0.00123,0.0001
dayofweek,0.00059,7e-05
util_lag3,0.00038,4e-05
util_roll3_mean,0.00029,6e-05
energy_lag2,0.00027,6e-05
util_roll24_mean,0.00026,3e-05
util_roll3_std,0.00018,3e-05
energy_lag168,0.00017,3e-05
energy_lag3,0.00016,1e-05
dow_sin,4e-05,1e-05
slow_count,3e-05,0.0
capacity,1e-05,1e-05
area,1e-05,0.0
is_weekend,0.0,0.0
CBD,0.0,0.0
dynamic_pricing,-0.0,0.0
dow_cos,-2e-05,2e-05
fast_count,-3e-05,2e-05
