episode,epsilon,train_reward,eps_hat,mult_bucket0,mult_bucket1,mult_bucket2,mult_bucket3,mult_bucket4
1,0.9,0.8614,-0.3005,1.0,1.0,1.0,1.6,1.6
2,0.81,0.8784,-0.3049,1.0,1.0,1.0,1.6,1.6
3,0.729,0.8754,-0.3057,1.0,1.0,1.0,1.6,1.6
4,0.656,0.8812,-0.2979,1.0,1.0,1.0,1.6,1.4
5,0.59,0.8858,-0.3023,1.0,1.0,1.0,1.6,1.6
6,0.531,0.8948,-0.304,1.0,1.0,1.0,1.6,1.6
7,0.478,0.8945,-0.3067,1.0,1.0,1.0,1.6,1.6
8,0.43,0.8968,-0.3054,1.0,1.0,1.0,1.6,1.6
9,0.387,0.8973,-0.3048,1.0,1.0,1.0,1.6,1.6
10,0.349,0.8998,-0.306,1.0,1.0,1.0,1.6,1.6
11,0.314,0.9042,-0.3071,1.0,1.0,1.0,1.6,1.6
12,0.282,0.9078,-0.3066,1.0,1.0,1.0,1.6,1.6
13,0.254,0.9109,-0.3053,1.0,1.0,1.0,1.6,1.6
14,0.229,0.9136,-0.3061,1.0,1.0,1.0,1.6,1.6
15,0.206,0.9145,-0.306,1.0,1.0,1.0,1.6,1.6
16,0.185,0.9183,-0.3058,1.0,1.0,1.0,1.6,1.6
17,0.167,0.9113,-0.3063,1.0,1.0,1.0,1.6,1.6
18,0.15,0.9074,-0.3059,1.0,1.0,1.0,1.6,1.6
19,0.135,0.921,-0.3056,1.0,1.0,1.0,1.6,1.6
20,0.122,0.9145,-0.3051,1.0,1.0,1.0,1.6,1.6
21,0.109,0.918,-0.3052,1.0,1.0,1.0,1.6,1.6
22,0.098,0.9183,-0.305,1.0,1.0,1.0,1.6,1.6
23,0.089,0.9236,-0.3053,1.0,1.0,1.0,1.6,1.6
24,0.08,0.9251,-0.3053,1.0,1.0,1.0,1.6,1.6
25,0.072,0.9223,-0.3054,1.0,1.0,1.0,1.6,1.6
26,0.065,0.9238,-0.306,1.0,1.0,1.0,1.6,1.6
27,0.058,0.9204,-0.3064,1.0,1.0,1.0,1.6,1.6
28,0.052,0.9212,-0.306,1.0,1.0,1.0,1.6,1.6
29,0.05,0.9219,-0.3062,1.0,1.0,1.0,1.6,1.6
30,0.05,0.9167,-0.3057,1.0,1.0,1.0,1.6,1.6
31,0.05,0.9156,-0.3057,1.0,1.0,1.0,1.6,1.6
32,0.05,0.9194,-0.3059,1.0,1.0,1.0,1.6,1.6
33,0.05,0.9177,-0.3061,1.0,1.0,1.0,1.6,1.6
34,0.05,0.924,-0.3063,1.0,1.0,1.0,1.6,1.6
35,0.05,0.9215,-0.3063,1.0,1.0,1.0,1.6,1.6
36,0.05,0.9248,-0.3064,1.0,1.0,1.0,1.6,1.6
37,0.05,0.9242,-0.3064,1.0,1.0,1.0,1.6,1.6
38,0.05,0.9233,-0.3065,1.0,1.0,1.0,1.6,1.6
39,0.05,0.927,-0.3061,1.0,1.0,1.0,1.6,1.6
40,0.05,0.9205,-0.307,1.0,1.0,1.0,1.6,1.6
41,0.05,0.9189,-0.3073,1.0,1.0,1.0,1.6,1.6
42,0.05,0.9242,-0.3073,1.0,1.0,1.0,1.6,1.6
43,0.05,0.9226,-0.3078,1.0,1.0,1.0,1.6,1.6
44,0.05,0.9226,-0.3078,1.0,1.0,1.0,1.6,1.6
45,0.05,0.9238,-0.3084,1.0,1.0,1.0,1.6,1.6
46,0.05,0.9286,-0.3086,1.0,1.0,1.0,1.6,1.6
47,0.05,0.9193,-0.3086,1.0,1.0,1.0,1.6,1.6
48,0.05,0.9259,-0.3084,1.0,1.0,1.0,1.6,1.6
49,0.05,0.924,-0.3086,1.0,1.0,1.0,1.6,1.6
50,0.05,0.9175,-0.3083,1.0,1.0,1.0,1.6,1.6
51,0.05,0.9244,-0.3083,1.0,1.0,1.0,1.6,1.6
52,0.05,0.9227,-0.3083,1.0,1.0,1.0,1.6,1.6
53,0.05,0.9227,-0.3083,1.0,1.0,1.0,1.6,1.6
54,0.05,0.9192,-0.3085,1.0,1.0,1.0,1.6,1.6
55,0.05,0.9219,-0.3083,1.0,1.0,1.0,1.6,1.6
56,0.05,0.9219,-0.3082,1.0,1.0,1.0,1.6,1.6
57,0.05,0.9239,-0.3081,1.0,1.0,1.0,1.6,1.6
58,0.05,0.9254,-0.3077,1.0,1.0,1.0,1.6,1.6
59,0.05,0.9226,-0.3078,1.0,1.0,1.0,1.6,1.6
60,0.05,0.9198,-0.3079,1.0,1.0,1.0,1.6,1.6
