scope,hour,mean_util,mean_energy,cv_util,band
overall,0,0.3319,621.3232,0.5975,peak
overall,1,0.3343,645.7195,0.5956,peak
overall,2,0.3284,580.2865,0.5914,peak
overall,3,0.326,557.6004,0.5942,peak
overall,4,0.3247,559.9384,0.5962,peak
overall,5,0.3267,589.8457,0.597,peak
overall,6,0.3313,651.3614,0.6053,peak
overall,7,0.3028,621.204,0.6087,shoulder
overall,8,0.2611,400.9,0.5696,shoulder
overall,9,0.2502,310.5211,0.608,offpeak
overall,10,0.2409,265.8211,0.6278,offpeak
overall,11,0.2376,267.0306,0.6302,offpeak
overall,12,0.2551,446.6815,0.6241,shoulder
overall,13,0.2569,473.923,0.6248,shoulder
overall,14,0.2412,329.5137,0.6138,offpeak
overall,15,0.2321,296.8705,0.6296,offpeak
overall,16,0.2319,306.9821,0.6279,offpeak
overall,17,0.2342,347.7271,0.6141,offpeak
overall,18,0.2399,342.1298,0.5919,offpeak
overall,19,0.2632,378.7939,0.577,shoulder
overall,20,0.2789,392.992,0.5872,shoulder
overall,21,0.2886,384.8331,0.5962,shoulder
overall,22,0.3,383.99,0.5949,shoulder
overall,23,0.3082,407.4046,0.5948,peak
weekday,0,0.3337,622.6712,0.5948,peak
weekday,1,0.3355,644.8702,0.5933,peak
weekday,2,0.3291,575.7977,0.5895,peak
weekday,3,0.3269,553.4588,0.592,peak
weekday,4,0.3254,554.4041,0.5943,peak
weekday,5,0.3276,590.1289,0.5959,peak
weekday,6,0.3311,653.7761,0.6051,peak
weekday,7,0.2933,601.6575,0.6015,shoulder
weekday,8,0.2492,373.1441,0.553,shoulder
weekday,9,0.2443,298.9956,0.6214,offpeak
weekday,10,0.2369,258.7566,0.6511,offpeak
weekday,11,0.2344,264.536,0.6537,offpeak
weekday,12,0.2546,464.2624,0.6398,shoulder
weekday,13,0.2557,487.6876,0.6379,shoulder
weekday,14,0.2385,330.3654,0.6248,offpeak
weekday,15,0.2272,291.8467,0.6424,offpeak
weekday,16,0.227,300.7903,0.6362,offpeak
weekday,17,0.2285,341.4708,0.618,offpeak
weekday,18,0.2349,337.4036,0.5812,offpeak
weekday,19,0.2633,378.9343,0.5629,shoulder
weekday,20,0.2823,399.7448,0.5764,shoulder
weekday,21,0.2935,389.4287,0.5886,shoulder
weekday,22,0.3062,387.8263,0.588,shoulder
weekday,23,0.3143,409.7327,0.5892,peak
weekend,0,0.3278,618.1779,0.604,peak
weekend,1,0.3315,647.7012,0.6011,peak
weekend,2,0.3266,590.7603,0.5959,peak
weekend,3,0.3238,567.2642,0.5995,peak
weekend,4,0.3232,572.8518,0.6008,peak
weekend,5,0.3246,589.1847,0.5999,peak
weekend,6,0.3315,645.7271,0.6059,peak
weekend,7,0.3249,666.8126,0.615,peak
weekend,8,0.2886,465.6637,0.5828,shoulder
weekend,9,0.264,337.4139,0.5757,shoulder
weekend,10,0.2503,282.3051,0.5739,offpeak
weekend,11,0.2449,272.8514,0.5753,offpeak
weekend,12,0.2562,405.6592,0.5866,offpeak
weekend,13,0.2597,441.8055,0.5943,shoulder
weekend,14,0.2476,327.5264,0.5886,offpeak
weekend,15,0.2435,308.5926,0.5992,offpeak
weekend,16,0.2432,321.4296,0.6072,offpeak
weekend,17,0.2477,362.3249,0.6017,offpeak
weekend,18,0.2515,353.1576,0.61,offpeak
weekend,19,0.2628,378.4663,0.6089,shoulder
weekend,20,0.2709,377.2353,0.6125,shoulder
weekend,21,0.2772,374.1099,0.6132,shoulder
weekend,22,0.2855,375.0386,0.6088,shoulder
weekend,23,0.2939,401.9724,0.606,shoulder
