forecast_utilization,multiplier,region,tariff_inr_per_kwh,tariff_cny_example
0.0,0.9,discount,13.5,0.863
0.05,0.917,discount,13.75,0.879
0.1,0.933,discount,14.0,0.895
0.15,0.95,discount,14.25,0.911
0.2,0.967,discount,14.5,0.927
0.25,0.983,discount,14.75,0.943
0.3,1.0,neutral,15.0,0.959
0.35,1.0,neutral,15.0,0.959
0.4,1.0,neutral,15.0,0.959
0.45,1.0,neutral,15.0,0.959
0.5,1.0,neutral,15.0,0.959
0.55,1.0,neutral,15.0,0.959
0.6,1.0,neutral,15.0,0.959
0.65,1.0,neutral,15.0,0.959
0.7,1.0,neutral,15.0,0.959
0.75,1.0,neutral,15.0,0.959
0.8,1.0,surge,15.0,0.959
0.85,1.15,surge,17.25,1.102
0.9,1.3,surge,19.5,1.246
0.95,1.45,surge,21.75,1.39
1.0,1.6,surge,24.0,1.534
