m_min,m_max,rev_gain_pct,util_before,util_after,offpeak_uplift_pct,peak_util_before,peak_util_after,pct_surge_slots,pct_discount_slots,peak_reduction_pp,ops_benefit,is_recommended
0.7,1.2,-1.0717,0.2922,0.2947,2.5945,0.8727,0.8631,0.7043,58.6665,0.9579,3.5524,False
0.7,1.3,-1.0534,0.2922,0.2947,2.5945,0.8727,0.8587,0.7043,58.6665,1.3971,3.9917,False
0.7,1.4,-1.0353,0.2922,0.2946,2.5945,0.8727,0.8545,0.7043,58.6665,1.8136,4.4081,False
0.7,1.5,-1.0174,0.2922,0.2946,2.5945,0.8727,0.8506,0.7043,58.6665,2.2095,4.804,False
0.7,1.6,-0.9996,0.2922,0.2945,2.5945,0.8727,0.8468,0.7043,58.6665,2.5868,5.1813,False
0.75,1.2,-0.8837,0.2922,0.2942,2.1306,0.8727,0.8631,0.7043,58.6665,0.9579,3.0885,False
0.75,1.3,-0.8654,0.2922,0.2942,2.1306,0.8727,0.8587,0.7043,58.6665,1.3971,3.5277,False
0.75,1.4,-0.8473,0.2922,0.2941,2.1306,0.8727,0.8545,0.7043,58.6665,1.8136,3.9442,False
0.75,1.5,-0.8293,0.2922,0.2941,2.1306,0.8727,0.8506,0.7043,58.6665,2.2095,4.3401,False
0.75,1.6,-0.8116,0.2922,0.2941,2.1306,0.8727,0.8468,0.7043,58.6665,2.5868,4.7174,False
0.8,1.2,-0.697,0.2922,0.2938,1.6804,0.8727,0.8631,0.7043,58.6665,0.9579,2.6382,False
0.8,1.3,-0.6787,0.2922,0.2937,1.6804,0.8727,0.8587,0.7043,58.6665,1.3971,3.0775,False
0.8,1.4,-0.6606,0.2922,0.2937,1.6804,0.8727,0.8545,0.7043,58.6665,1.8136,3.4939,False
0.8,1.5,-0.6427,0.2922,0.2937,1.6804,0.8727,0.8506,0.7043,58.6665,2.2095,3.8899,False
0.8,1.6,-0.6249,0.2922,0.2936,1.6804,0.8727,0.8468,0.7043,58.6665,2.5868,4.2671,False
0.85,1.2,-0.5116,0.2922,0.2934,1.2429,0.8727,0.8631,0.7043,58.6665,0.9579,2.2008,False
0.85,1.3,-0.4933,0.2922,0.2933,1.2429,0.8727,0.8587,0.7043,58.6665,1.3971,2.64,False
0.85,1.4,-0.4752,0.2922,0.2933,1.2429,0.8727,0.8545,0.7043,58.6665,1.8136,3.0565,False
0.85,1.5,-0.4573,0.2922,0.2932,1.2429,0.8727,0.8506,0.7043,58.6665,2.2095,3.4524,False
0.85,1.6,-0.4395,0.2922,0.2932,1.2429,0.8727,0.8468,0.7043,58.6665,2.5868,3.8297,False
0.9,1.2,-0.3275,0.2922,0.2929,0.8175,0.8727,0.8631,0.7043,58.6665,0.9579,1.7754,False
0.9,1.3,-0.3092,0.2922,0.2929,0.8175,0.8727,0.8587,0.7043,58.6665,1.3971,2.2146,False
0.9,1.4,-0.2911,0.2922,0.2928,0.8175,0.8727,0.8545,0.7043,58.6665,1.8136,2.6311,False
0.9,1.5,-0.2731,0.2922,0.2928,0.8175,0.8727,0.8506,0.7043,58.6665,2.2095,3.027,False
0.9,1.6,-0.2554,0.2922,0.2928,0.8175,0.8727,0.8468,0.7043,58.6665,2.5868,3.4043,True
0.95,1.2,-0.1445,0.2922,0.2925,0.4034,0.8727,0.8631,0.7043,58.6665,0.9579,1.3613,False
0.95,1.3,-0.1262,0.2922,0.2925,0.4034,0.8727,0.8587,0.7043,58.6665,1.3971,1.8005,False
0.95,1.4,-0.1081,0.2922,0.2924,0.4034,0.8727,0.8545,0.7043,58.6665,1.8136,2.217,False
0.95,1.5,-0.0902,0.2922,0.2924,0.4034,0.8727,0.8506,0.7043,58.6665,2.2095,2.6129,False
0.95,1.6,-0.0725,0.2922,0.2924,0.4034,0.8727,0.8468,0.7043,58.6665,2.5868,2.9902,False
