discount_trigger,surge_trigger,rev_gain_pct,offpeak_uplift_pct,peak_reduction_pp,pct_surge,pct_discount
0.2,0.7,0.784,0.725,4.751,2.33,34.36
0.2,0.75,0.297,0.725,3.772,1.43,34.36
0.2,0.8,0.01,0.725,2.587,0.7,34.36
0.2,0.85,-0.055,0.725,1.62,0.37,34.36
0.2,0.9,-0.089,0.725,0.606,0.24,34.36
0.25,0.7,0.674,0.783,4.751,2.33,46.83
0.25,0.75,0.187,0.783,3.772,1.43,46.83
0.25,0.8,-0.1,0.783,2.587,0.7,46.83
0.25,0.85,-0.164,0.783,1.62,0.37,46.83
0.25,0.9,-0.198,0.783,0.606,0.24,46.83
0.3,0.7,0.519,0.818,4.751,2.33,58.67
0.3,0.75,0.032,0.818,3.772,1.43,58.67
0.3,0.8,-0.255,0.818,2.587,0.7,58.67
0.3,0.85,-0.319,0.818,1.62,0.37,58.67
0.3,0.9,-0.354,0.818,0.606,0.24,58.67
0.35,0.7,0.32,0.877,4.751,2.33,68.86
0.35,0.75,-0.167,0.877,3.772,1.43,68.86
0.35,0.8,-0.454,0.877,2.587,0.7,68.86
0.35,0.85,-0.518,0.877,1.62,0.37,68.86
0.35,0.9,-0.552,0.877,0.606,0.24,68.86
0.4,0.7,0.079,0.927,4.751,2.33,76.67
0.4,0.75,-0.408,0.927,3.772,1.43,76.67
0.4,0.8,-0.695,0.927,2.587,0.7,76.67
0.4,0.85,-0.759,0.927,1.62,0.37,76.67
0.4,0.9,-0.794,0.927,0.606,0.24,76.67
