zone,hour_index,timestamp,util_obs,util_forecast,region,multiplier,p0_cny,price_dyn_cny,energy_obs,rev_base,rev_after,util_after
102,624,2022-07-15 00:00:00,0.56667,0.60959,neutral,1.0,1.0236,1.0236,59.5,60.9051,60.9051,0.5667
102,625,2022-07-15 01:00:00,0.56667,0.58278,neutral,1.0,1.0236,1.0236,59.5,60.9051,60.9051,0.5667
102,626,2022-07-15 02:00:00,0.56667,0.58808,neutral,1.0,1.0236,1.0236,59.5,60.9051,60.9051,0.5667
102,627,2022-07-15 03:00:00,0.56667,0.58679,neutral,1.0,1.0236,1.0236,59.5,60.9051,60.9051,0.5667
102,628,2022-07-15 04:00:00,0.56667,0.58798,neutral,1.0,1.0236,1.0236,59.5,60.9051,60.9051,0.5667
102,629,2022-07-15 05:00:00,0.56667,0.58843,neutral,1.0,1.0236,1.0236,59.5,60.9051,60.9051,0.5667
102,630,2022-07-15 06:00:00,0.56667,0.58838,neutral,1.0,1.0236,1.0236,59.5,60.9051,60.9051,0.5667
102,631,2022-07-15 07:00:00,0.6,0.55842,neutral,1.0,1.0236,1.0236,66.19278,67.756,67.756,0.6
102,632,2022-07-15 08:00:00,0.64167,0.60487,neutral,1.0,1.0236,1.0236,72.85056,74.571,74.571,0.6417
102,633,2022-07-15 09:00:00,0.725,0.65078,neutral,1.0,1.0236,1.0236,90.41083,92.5459,92.5459,0.725
102,634,2022-07-15 10:00:00,0.7,0.68578,neutral,1.0,1.0236,1.0236,87.5,89.5664,89.5664,0.7
102,635,2022-07-15 11:00:00,0.66389,0.66385,neutral,1.0,1.0236,1.0236,83.02972,84.9905,84.9905,0.6639
102,636,2022-07-15 12:00:00,0.68889,0.63646,neutral,1.0,1.0236,1.0236,80.5,82.4011,82.4011,0.6889
102,637,2022-07-15 13:00:00,0.68889,0.66901,neutral,1.0,1.0236,1.0236,71.53806,73.2275,73.2275,0.6889
102,638,2022-07-15 14:00:00,0.66667,0.67432,neutral,1.0,1.0236,1.0236,66.5,68.0704,68.0704,0.6667
102,639,2022-07-15 15:00:00,0.66111,0.63753,neutral,1.0,1.0236,1.0236,66.5,68.0704,68.0704,0.6611
102,640,2022-07-15 16:00:00,0.625,0.62269,neutral,1.0,1.0236,1.0236,66.3425,67.9092,67.9092,0.625
102,641,2022-07-15 17:00:00,0.59167,0.58467,neutral,1.0,1.0236,1.0236,59.5,60.9051,60.9051,0.5917
102,642,2022-07-15 18:00:00,0.59722,0.58415,neutral,1.0,1.0236,1.0236,62.80556,64.2888,64.2888,0.5972
102,643,2022-07-15 19:00:00,0.64167,0.60389,neutral,1.0,1.0236,1.0236,66.10722,67.6684,67.6684,0.6417
102,644,2022-07-15 20:00:00,0.56389,0.64214,neutral,1.0,1.0236,1.0236,53.86306,55.1351,55.1351,0.5639
102,645,2022-07-15 21:00:00,0.575,0.56744,neutral,1.0,1.0236,1.0236,54.64083,55.9312,55.9312,0.575
102,646,2022-07-15 22:00:00,0.66389,0.59816,neutral,1.0,1.0236,1.0236,66.16361,67.7261,67.7261,0.6639
102,647,2022-07-15 23:00:00,0.66667,0.66476,neutral,1.0,1.0236,1.0236,66.5,68.0704,68.0704,0.6667
102,648,2022-07-16 00:00:00,0.66667,0.65883,neutral,1.0,1.0236,1.0236,66.5,68.0704,68.0704,0.6667
102,649,2022-07-16 01:00:00,0.675,0.66302,neutral,1.0,1.0236,1.0236,66.5,68.0704,68.0704,0.675
102,650,2022-07-16 02:00:00,0.66667,0.67015,neutral,1.0,1.0236,1.0236,66.5,68.0704,68.0704,0.6667
102,651,2022-07-16 03:00:00,0.66667,0.66202,neutral,1.0,1.0236,1.0236,66.5,68.0704,68.0704,0.6667
102,652,2022-07-16 04:00:00,0.64167,0.66151,neutral,1.0,1.0236,1.0236,63.96931,65.48,65.48,0.6417
102,653,2022-07-16 05:00:00,0.63333,0.62953,neutral,1.0,1.0236,1.0236,63.0,64.4878,64.4878,0.6333
102,654,2022-07-16 06:00:00,0.63333,0.62957,neutral,1.0,1.0236,1.0236,63.0,64.4878,64.4878,0.6333
102,655,2022-07-16 07:00:00,0.63333,0.61865,neutral,1.0,1.0236,1.0236,63.0,64.4878,64.4878,0.6333
102,656,2022-07-16 08:00:00,0.63333,0.6196,neutral,1.0,1.0236,1.0236,63.0,64.4878,64.4878,0.6333
102,657,2022-07-16 09:00:00,0.60556,0.62512,neutral,1.0,1.0236,1.0236,58.71444,60.101,60.101,0.6056
102,658,2022-07-16 10:00:00,0.58056,0.59915,neutral,1.0,1.0236,1.0236,53.66667,54.934,54.934,0.5806
102,659,2022-07-16 11:00:00,0.55278,0.57637,neutral,1.0,1.0236,1.0236,54.05361,55.3301,55.3301,0.5528
102,660,2022-07-16 12:00:00,0.56389,0.56825,neutral,1.0,1.0236,1.0236,51.53361,52.7506,52.7506,0.5639
102,661,2022-07-16 13:00:00,0.38611,0.57319,neutral,1.0,1.0236,1.0236,51.13694,52.3446,52.3446,0.3861
102,662,2022-07-16 14:00:00,0.4,0.35997,neutral,1.0,1.0236,1.0236,56.0,57.3225,57.3225,0.4
102,663,2022-07-16 15:00:00,0.36667,0.41828,neutral,1.0,1.0236,1.0236,48.02486,49.159,49.159,0.3667
102,664,2022-07-16 16:00:00,0.33333,0.36941,neutral,1.0,1.0236,1.0236,38.5,39.4092,39.4092,0.3333
102,665,2022-07-16 17:00:00,0.33333,0.33947,neutral,1.0,1.0236,1.0236,38.5,39.4092,39.4092,0.3333
102,666,2022-07-16 18:00:00,0.39167,0.33958,neutral,1.0,1.0236,1.0236,50.25222,51.439,51.439,0.3917
102,667,2022-07-16 19:00:00,0.39722,0.44043,neutral,1.0,1.0236,1.0236,52.675,53.919,53.919,0.3972
102,668,2022-07-16 20:00:00,0.37222,0.43171,neutral,1.0,1.0236,1.0236,46.47222,47.5697,47.5697,0.3722
102,669,2022-07-16 21:00:00,0.45833,0.39862,neutral,1.0,1.0236,1.0236,59.19278,60.5907,60.5907,0.4583
102,670,2022-07-16 22:00:00,0.58889,0.54685,neutral,1.0,1.0236,1.0236,52.80528,54.0523,54.0523,0.5889
102,671,2022-07-16 23:00:00,0.6,0.62401,neutral,1.0,1.0236,1.0236,52.5,53.7398,53.7398,0.6
102,672,2022-07-17 00:00:00,0.60556,0.6209,neutral,1.0,1.0236,1.0236,53.47222,54.735,54.735,0.6056
102,673,2022-07-17 01:00:00,0.63333,0.61704,neutral,1.0,1.0236,1.0236,59.5,60.9051,60.9051,0.6333
102,674,2022-07-17 02:00:00,0.61944,0.62827,neutral,1.0,1.0236,1.0236,59.5,60.9051,60.9051,0.6194
102,675,2022-07-17 03:00:00,0.63333,0.61976,neutral,1.0,1.0236,1.0236,59.5,60.9051,60.9051,0.6333
102,676,2022-07-17 04:00:00,0.63333,0.62894,neutral,1.0,1.0236,1.0236,59.5,60.9051,60.9051,0.6333
102,677,2022-07-17 05:00:00,0.63333,0.62643,neutral,1.0,1.0236,1.0236,59.5,60.9051,60.9051,0.6333
102,678,2022-07-17 06:00:00,0.63333,0.6276,neutral,1.0,1.0236,1.0236,59.5,60.9051,60.9051,0.6333
102,679,2022-07-17 07:00:00,0.65278,0.62025,neutral,1.0,1.0236,1.0236,60.47417,61.9023,61.9023,0.6528
102,680,2022-07-17 08:00:00,0.66667,0.6482,neutral,1.0,1.0236,1.0236,66.5,68.0704,68.0704,0.6667
102,681,2022-07-17 09:00:00,0.66667,0.65786,neutral,1.0,1.0236,1.0236,66.5,68.0704,68.0704,0.6667
102,682,2022-07-17 10:00:00,0.64167,0.63816,neutral,1.0,1.0236,1.0236,68.64278,70.2638,70.2638,0.6417
102,683,2022-07-17 11:00:00,0.61111,0.60757,neutral,1.0,1.0236,1.0236,67.86306,69.4657,69.4657,0.6111
102,684,2022-07-17 12:00:00,0.55833,0.58363,neutral,1.0,1.0236,1.0236,64.06653,65.5795,65.5795,0.5583
102,685,2022-07-17 13:00:00,0.4,0.53457,neutral,1.0,1.0236,1.0236,59.5,60.9051,60.9051,0.4
102,686,2022-07-17 14:00:00,0.4,0.38277,neutral,1.0,1.0236,1.0236,59.5,60.9051,60.9051,0.4
102,687,2022-07-17 15:00:00,0.41667,0.41055,neutral,1.0,1.0236,1.0236,62.81333,64.2967,64.2967,0.4167
102,688,2022-07-17 16:00:00,0.4,0.42363,neutral,1.0,1.0236,1.0236,59.80139,61.2136,61.2136,0.4
102,689,2022-07-17 17:00:00,0.39722,0.40693,neutral,1.0,1.0236,1.0236,57.95806,59.3268,59.3268,0.3972
102,690,2022-07-17 18:00:00,0.49722,0.40053,neutral,1.0,1.0236,1.0236,73.70417,75.4447,75.4447,0.4972
102,691,2022-07-17 19:00:00,0.51667,0.53613,neutral,1.0,1.0236,1.0236,78.07042,79.9141,79.9141,0.5167
102,692,2022-07-17 20:00:00,0.50833,0.53294,neutral,1.0,1.0236,1.0236,75.43472,77.2162,77.2162,0.5083
102,693,2022-07-17 21:00:00,0.61111,0.51868,neutral,1.0,1.0236,1.0236,68.43472,70.0509,70.0509,0.6111
102,694,2022-07-17 22:00:00,0.68056,0.61529,neutral,1.0,1.0236,1.0236,69.42056,71.06,71.06,0.6806
102,695,2022-07-17 23:00:00,0.66667,0.68015,neutral,1.0,1.0236,1.0236,66.5,68.0704,68.0704,0.6667
102,696,2022-07-18 00:00:00,0.65278,0.65864,neutral,1.0,1.0236,1.0236,66.5,68.0704,68.0704,0.6528
102,697,2022-07-18 01:00:00,0.66667,0.65464,neutral,1.0,1.0236,1.0236,66.5,68.0704,68.0704,0.6667
102,698,2022-07-18 02:00:00,0.66667,0.66385,neutral,1.0,1.0236,1.0236,66.5,68.0704,68.0704,0.6667
102,699,2022-07-18 03:00:00,0.65833,0.66643,neutral,1.0,1.0236,1.0236,66.5,68.0704,68.0704,0.6583
102,700,2022-07-18 04:00:00,0.66389,0.65448,neutral,1.0,1.0236,1.0236,66.5,68.0704,68.0704,0.6639
102,701,2022-07-18 05:00:00,0.66667,0.65504,neutral,1.0,1.0236,1.0236,66.5,68.0704,68.0704,0.6667
102,702,2022-07-18 06:00:00,0.65278,0.66745,neutral,1.0,1.0236,1.0236,66.5,68.0704,68.0704,0.6528
102,703,2022-07-18 07:00:00,0.64167,0.64349,neutral,1.0,1.0236,1.0236,61.63306,63.0886,63.0886,0.6417
102,704,2022-07-18 08:00:00,0.62778,0.64117,neutral,1.0,1.0236,1.0236,63.89639,65.4054,65.4054,0.6278
102,705,2022-07-18 09:00:00,0.67778,0.62956,neutral,1.0,1.0236,1.0236,80.5,82.4011,82.4011,0.6778
102,706,2022-07-18 10:00:00,0.675,0.66263,neutral,1.0,1.0236,1.0236,80.31917,82.216,82.216,0.675
102,707,2022-07-18 11:00:00,0.66667,0.65183,neutral,1.0,1.0236,1.0236,73.5,75.2358,75.2358,0.6667
102,708,2022-07-18 12:00:00,0.63333,0.64126,neutral,1.0,1.0236,1.0236,79.78639,81.6706,81.6706,0.6333
102,709,2022-07-18 13:00:00,0.66389,0.59414,neutral,1.0,1.0236,1.0236,73.5,75.2358,75.2358,0.6639
102,710,2022-07-18 14:00:00,0.67778,0.60962,neutral,1.0,1.0236,1.0236,73.5,75.2358,75.2358,0.6778
102,711,2022-07-18 15:00:00,0.65278,0.63767,neutral,1.0,1.0236,1.0236,70.19444,71.8521,71.8521,0.6528
102,712,2022-07-18 16:00:00,0.63333,0.61618,neutral,1.0,1.0236,1.0236,70.39472,72.0571,72.0571,0.6333
102,713,2022-07-18 17:00:00,0.66111,0.59547,neutral,1.0,1.0236,1.0236,71.35917,73.0444,73.0444,0.6611
102,714,2022-07-18 18:00:00,0.65278,0.6465,neutral,1.0,1.0236,1.0236,69.70056,71.3466,71.3466,0.6528
102,715,2022-07-18 19:00:00,0.61944,0.66114,neutral,1.0,1.0236,1.0236,60.235,61.6575,61.6575,0.6194
102,716,2022-07-18 20:00:00,0.63056,0.6152,neutral,1.0,1.0236,1.0236,64.37472,65.895,65.895,0.6306
102,717,2022-07-18 21:00:00,0.59167,0.6344,neutral,1.0,1.0236,1.0236,53.86306,55.1351,55.1351,0.5917
102,718,2022-07-18 22:00:00,0.57222,0.61252,neutral,1.0,1.0236,1.0236,52.5,53.7398,53.7398,0.5722
102,719,2022-07-18 23:00:00,0.59444,0.59517,neutral,1.0,1.0236,1.0236,52.5,53.7398,53.7398,0.5944
105,624,2022-07-15 00:00:00,0.16846,0.16408,discount,0.9547,1.1242,1.0732,94.5,106.2338,102.9433,0.1704
105,625,2022-07-15 01:00:00,0.17473,0.16778,discount,0.9559,1.1242,1.0746,94.5,106.2338,103.0335,0.1767
105,626,2022-07-15 02:00:00,0.16846,0.17269,discount,0.9576,1.1242,1.0765,95.47417,107.3289,104.2166,0.1703
105,627,2022-07-15 03:00:00,0.19803,0.16697,discount,0.9557,1.1242,1.0743,103.64083,116.5096,112.9781,0.2003
105,628,2022-07-15 04:00:00,0.21057,0.19337,discount,0.9645,1.1242,1.0842,108.5,121.9721,119.0131,0.2125
105,629,2022-07-15 05:00:00,0.18459,0.20297,discount,0.9677,1.1242,1.0878,102.86306,115.6352,113.0839,0.1861
105,630,2022-07-15 06:00:00,0.16935,0.17718,discount,0.9591,1.1242,1.0781,97.02778,109.0754,106.0248,0.1711
105,631,2022-07-15 07:00:00,0.14695,0.15166,discount,0.9506,1.1242,1.0686,82.73806,93.0114,89.8651,0.1488
